tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2022,35,Jawa Timur,3572,Kota Blitar,151960,33.2,4577.108434,99.1,93.96,95.91,5.39,1497648,7.37,568280,80.75,79.93,SMA,38,3,28.42,7.21,0,12.8,5.2,5.5,14.3,Tidak Prioritas
2022,35,Jawa Timur,3573,Kota Malang,846126,111.08,7617.266835,96.76,93.67,82.61,7.66,1880789,4.37,674660,94.22,82.71,SMA,229,16,40.32,6.7,0,15.7,3.9,6.6,18,Tidak Prioritas
2022,35,Jawa Timur,3574,Kota Probolinggo,243200,54.68,4447.695684,100,86.93,89.27,4.57,1799840,6.65,628380,82.9,74.56,SMA,31,6,26.62,6.77,0,19.9,4.4,12.4,23.3,Prioritas
2022,35,Jawa Timur,3575,Kota Pasuruan,211497,39,5423,100,89.55,89.32,6.18,1459948,6.37,529512,84.38,76.54,SMA,33,8,29.82,6.72,0,21.4,6.2,12.4,21.1,Prioritas
2022,35,Jawa Timur,3576,Kota Mojokerto,134350,20.22,6644.411474,98.65,96.03,95.59,5.05,1858312,5.98,581006,80.03,79.32,SMA,50,6,32.31,5.79,0,9.5,4.2,5.6,8.4,Tidak Prioritas
2022,35,Jawa Timur,3577,Kota Madiun,199192,36.13,5513.202325,98.54,92.01,95.38,6.39,1658076,4.76,605131,93.94,82.01,SMA,67,7,29.84,6.82,0,11.6,5.8,6.6,9.7,Tidak Prioritas
2022,35,Jawa Timur,3578,Kota Surabaya,2887223,335.93,8594.716161,95.66,85.1,96.41,7.62,2720805,4.72,718370,84.32,82.74,SMA,510,62,27.58,4.37,0,7.5,3.4,6.1,4.8,Tidak Prioritas
2022,35,Jawa Timur,3579,Kota Batu,216735,194.17,1116.212597,99.12,96.81,94.37,8.43,1916382,3.79,613985,83,77.22,SMA,35,5,39.06,6.09,0,12.6,5,3.4,25.2,Prioritas
2022,36,Banten,3601,Pandeglang,1298850,2771.414,468.6596806,77.27,71.97,62.14,9.24,1532744,9.32,455297,51.77,65.84,SD,57,39,4.94,4.39,0,24.2,2,9.8,29.4,Prioritas
2022,36,Banten,3602,Lebak,1417350,3312.18,427.920584,73.27,75.11,67.4,8.55,1496958,8.91,419066,50.26,64.71,SD,46,44,0.79,3.45,0,18.9,4.4,6.4,26.2,Prioritas
2022,36,Banten,3603,Tangerang,3321650,1027.757,3231.941013,98.55,89.81,86.63,7.88,2383856,6.92,604362,49.93,72.97,SMA,171,43,37.66,2.28,0,18.9,3.6,9.3,21.1,Prioritas
2022,36,Banten,3604,Serang,1661370,1469.908,1130.25441,91.91,84.38,82.38,10.61,1774771,4.96,425751,47.83,67.75,SD,53,32,17.79,2.9,0,19.7,3,8.4,26.4,Prioritas
2022,36,Banten,3671,Kota Tangerang,1931640,178.347,10830.79614,95.58,94.84,94.43,7.16,2875167,5.77,746468,54.25,78.9,SMA,192,37,35.28,1.71,0,11.4,6.1,4.8,11.8,Tidak Prioritas
2022,36,Banten,3672,Kota Cilegon,445060,162.514,2738.594829,99.08,89.97,87.72,8.1,2132249,3.64,632703,58.16,73.95,SMA,41,9,37.79,2.04,0,19.8,2.5,12.8,19.1,Tidak Prioritas
2022,36,Banten,3673,Kota Serang,712410,265.787,2680.379402,97.61,86.61,91.55,8.17,2328764,5.94,511575,46.76,72.98,SD,51,16,23.75,2.42,0,21.2,2.2,11.4,23.8,Prioritas
2022,36,Banten,3674,Kota Tangerang Selatan,1378710,164.86,8362.913988,98.64,97.93,97.56,6.59,4204667,2.5,782543,54.69,81.95,SMA,190,29,48.9,1.5,0,9.1,4.7,4.9,9,Tidak Prioritas
