jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
1397560,1334.1,1047.567649,87.34,89.22,93.68,5.11,1816060.0,16.34,451678,71.8,71.88,0,88,35,12.52,12.0,0,15.5,4.7,1
788270,1081.96,728.5574328,91.26,86.89,81.43,4.02,2220234.0,11.33,427622,35.88,74.35,2,62,27,20.26,14.71,2,11.3,6.2,1
909660,1011.62,899.2111662,94.61,90.29,58.14,4.95,2059530.0,15.58,425105,63.81,70.18,0,48,24,10.51,12.89,0,16.2,5.1,1
1330660,1129.98,1177.596064,97.5,87.31,85.14,4.42,1884529.0,10.96,411129,61.88,71.56,0,66,28,16.56,11.23,2,12.0,4.7,1
1090130,1096.59,994.1090107,94.36,89.81,89.31,4.05,2377454.0,9.81,420339,45.58,75.41,2,69,24,24.68,12.73,0,18.0,6.2,1
1284390,701.5,1830.919458,99.52,91.7,97.16,4.2,2249792.0,12.28,488102,43.57,77.59,2,123,36,29.05,14.46,2,18.6,7.5,1
932680,493.53,1889.814196,99.71,88.84,95.68,3.4,2442727.0,7.58,476675,70.5,78.65,2,82,12,35.65,10.31,0,15.1,6.8,1
1051090,1905.74,551.5390347,96.57,93.69,96.12,1.92,2069081.0,10.94,414901,55.63,71.97,0,80,40,15.41,10.8,0,9.8,3.2,0
955120,803.05,1189.365544,98.48,95.75,97.03,4.35,2308459.0,9.79,465703,66.57,77.31,2,54,21,29.81,10.63,0,10.7,5.3,1
997490,994.57,1002.935942,98.14,90.06,95.3,3.87,2111776.0,12.87,426482,47.01,75.1,0,74,25,18.4,10.8,7,12.0,7.8,0
1492890,2023.85,737.6485411,82.18,88.17,90.49,4.02,2534557.0,11.72,464614,40.45,71.49,0,81,31,12.06,13.23,3,15.1,12.7,1
901620,1957.29,460.6471192,93.54,90.17,90.72,3.1,2535257.0,11.49,425135,64.27,70.63,0,68,26,15.24,11.27,2,17.3,8.3,1
660170,1037.54,636.2839023,95.34,89.57,95.44,2.6,2589270.0,14.17,477514,58.74,71.89,0,69,17,13.11,10.15,0,17.6,10.1,0
1359360,1572.9,864.2380317,95.92,94.23,95.8,4.29,2248444.0,9.31,532545,45.22,73.59,0,91,29,22.65,7.78,0,14.8,7.5,0
874630,447.44,1954.742535,94.62,89.63,92.12,3.25,2495820.0,7.24,520830,64.63,76.71,2,59,18,36.31,8.36,0,9.9,8.7,0
1221090,1020.25,1196.853712,83.79,87.66,70.49,3.35,2069074.0,6.61,479131,58.78,73.85,1,62,22,16.95,10.02,0,17.1,10.4,0
1240510,977.77,1268.713501,92.26,92.59,93.6,5.38,2559193.0,12.01,511145,50.8,74.07,2,57,26,19.93,7.77,0,14.1,6.8,0
1080650,1019.27,1060.219569,95.84,93.19,85.5,4.05,2456279.0,7.17,498952,54.94,75.13,1,87,26,29.74,8.28,1,13.0,6.5,0
808450,864.83,934.8079969,97.8,91.34,69.89,2.32,2097542.0,9.26,388369,55.7,71.33,0,47,25,11.1,10.26,1,12.5,3.6,1
1052830,1008.12,1044.349879,96.78,90.3,78.33,5.76,2241473.0,9.39,465936,55.72,73.86,1,93,28,20.97,11.9,1,20.1,16.9,1
828880,857.27,966.8832457,96.79,93.45,61.7,6.06,1988954.0,8.92,378858,49.9,70.2,0,48,21,12.55,9.38,1,16.2,11.0,1
1007380,892.91,1128.198811,95.65,87.67,83.47,3.25,2046671.0,9.67,480934,47.58,71.45,0,56,27,13.88,6.73,0,21.8,11.3,1
1523620,1137.41,1339.55214,97.68,86.47,80.73,6.55,2025318.0,15.03,467204,52.05,68.08,0,75,25,14.27,9.47,0,10.6,6.7,0
1654840,983.9,1681.918894,98.17,89.05,85.87,8.6,2039714.0,7.3,470728,70.65,71.12,0,76,31,18.71,12.25,1,13.9,4.2,1
2043080,1742.81,1172.290726,88.78,83.99,82.8,8.98,2124307.0,15.78,513339,62.51,69.71,0,91,38,10.78,9.37,0,14.1,5.4,1
122150,18.56,6581.357759,100.0,89.42,84.93,5.25,2505077.0,6.11,602794,93.11,81.17,2,43,5,32.64,10.34,0,11.9,4.5,0
526870,46.72,11277.18322,99.16,78.62,89.97,4.58,2336482.0,8.44,600953,76.41,83.54,2,137,17,30.47,7.92,0,13.4,3.6,0
198920,54.98,3618.042925,98.71,88.12,98.15,4.57,2952582.0,4.66,565031,94.48,84.99,2,36,6,43.33,5.83,2,10.9,4.7,0
