jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
330797,3079.61,107.4152247,90.47,90.94,87.49,3.43,1932994.0,8.06,486275,52.29,74.23,1,20,18,24.05,5.33,0,10.3,10.5,0
401863,3686.013,109.0237609,95.48,92.46,84.75,4.84,1841654.0,9.08,573783,60.13,75.45,1,16,17,24.95,7.69,0,7.9,4.6,0
155873,1238.055,125.9015149,66.28,74.02,37.9,2.57,722504.0,21.79,501443,48.61,65.44,0,23,10,12.13,9.2,0,15.7,11.2,1
95334,464.219,205.3642785,71.05,73.0,36.52,0.8,779279.0,22.81,520543,61.17,64.68,0,12,11,9.5,10.95,0,25.7,15.5,1
91265,11.471,7956.150292,88.85,91.28,35.05,6.79,1717940.0,11.42,568188,64.62,77.07,1,18,5,16.41,7.32,0,11.5,8.5,0
183170,60.072,3049.174324,100.0,92.61,94.37,4.47,1814875.0,12.21,554065,57.08,75.42,1,27,8,16.71,7.56,0,3.2,5.1,0
274838,75.919,3620.147789,99.96,96.56,91.22,8.62,1992902.0,7.24,670183,60.52,80.46,2,54,19,36.42,9.09,0,7.2,4.2,0
178914,39.17,4567.628287,99.13,94.69,92.76,6.24,2145996.0,9.49,623531,68.4,78.17,2,42,9,28.11,9.78,0,15.8,15.8,0
2474166,279.29,8858.770454,98.05,90.9,91.97,8.67,2319934.0,8.0,651901,34.98,82.61,2,253,39,34.79,7.3,0,3.3,4.0,0
303272,93.77,3234.211368,64.47,90.68,95.44,6.1,1976232.0,4.79,538638,57.25,78.11,2,32,8,40.57,11.5,0,17.3,11.6,0
236217,159.298,1482.862308,80.11,84.79,44.79,7.57,1921091.0,6.85,523244,61.54,78.1,2,13,10,32.72,7.45,0,17.2,8.3,1
142890,208.684,684.7194802,51.33,91.15,55.37,3.67,1063981.0,14.78,459787,49.38,71.55,1,20,7,19.19,9.66,0,14.3,4.3,0
91430,5983.222,15.28106428,68.34,78.6,72.28,1.33,884565.0,13.72,421113,45.67,65.79,1,26,15,10.77,10.62,0,24.3,12.7,1
525360,6045.649,86.898859,86.8,82.66,76.82,4.75,1490558.0,7.34,554057,81.6,72.24,1,62,20,18.57,8.65,0,21.9,9.5,1
405380,3590.404,112.9065141,82.36,73.74,59.75,4.99,1894003.0,7.13,532900,46.27,71.92,1,45,19,16.73,6.83,0,15.0,4.5,1
243710,3150.58,77.35401101,69.6,80.47,72.18,4.71,1715280.0,5.88,529460,83.96,72.03,1,51,13,24.62,5.88,0,25.3,12.1,1
383680,1377.186,278.5970813,87.17,78.53,62.99,5.35,1671672.0,4.16,515587,59.27,75.57,1,45,23,21.8,9.54,0,13.2,6.5,0
451390,1342.266,336.2895283,87.19,85.55,61.77,6.69,1797095.0,6.34,548147,46.8,74.54,1,57,25,25.64,7.41,0,19.5,12.4,0
551890,2226.27,247.8989521,90.02,83.94,77.04,4.96,1869359.0,6.6,530290,47.98,74.44,1,49,23,18.2,9.86,0,13.2,7.9,1
396430,3273.405,121.1063098,69.39,77.76,60.64,3.95,1507992.0,6.8,553068,85.47,72.05,1,50,22,10.95,6.85,0,15.9,5.1,1
313200,3902.444,80.25739767,81.44,66.77,46.74,5.09,1217424.0,6.8,472703,62.79,69.85,1,62,18,6.77,8.67,0,21.8,9.9,1
191540,3282.144,58.35819513,80.11,78.74,54.69,2.57,1700819.0,6.45,516004,52.91,72.24,1,16,11,18.52,8.01,0,11.8,13.4,0
239920,2920.925,82.1383637,71.5,87.51,81.57,6.22,1682687.0,5.56,581058,52.5,73.87,1,56,15,20.08,6.25,0,16.9,10.0,0
450050,3852.993,116.8052992,78.79,82.9,71.64,6.01,1871666.0,6.92,596225,58.0,72.03,1,61,20,19.69,7.21,0,19.5,9.0,1
942940,694.337,1358.043717,98.64,78.03,78.56,10.86,2304160.0,4.17,698720,72.49,83.98,2,152,22,43.65,6.52,1,18.7,12.0,1
77840,58.72,1325.613079,96.22,92.57,94.35,3.72,1942382.0,3.05,538682,89.61,79.66,2,28,4,25.33,6.71,0,15.7,7.2,0
67760,231.945,292.1382224,90.46,91.24,90.18,4.98,1655840.0,2.27,487610,88.33,75.91,1,21,6,28.14,8.76,0,16.3,9.1,0
58630,23.56,2488.539898,99.07,86.35,76.31,5.49,1991559.0,5.24,599681,88.22,79.76,2,15,4,26.47,6.81,0,8.3,2.5,0
124050,24.173,5131.758574,99.95,90.87,89.32,4.99,2042863.0,4.11,619896,74.96,81.88,2,55,7,42.2,6.21,0,12.6,5.3,1
144830,74.552,1942.670887,98.63,93.64,87.75,4.84,2012439.0,5.44,616357,77.43,80.14,2,29,8,24.95,6.51,0,12.8,10.7,0
97210,64.767,1500.918678,94.48,84.19,84.18,5.68,1490620.0,4.2,576455,70.99,79.76,2,41,7,21.88,8.38,0,18.2,9.6,0
345610,5457.86,63.32335384,83.02,90.82,85.36,2.49,1881702.0,8.07,693493,64.78,73.35,1,51,25,18.19,13.75,0,18.3,12.2,1
462220,7871.85,58.71809041,73.31,89.96,85.43,2.47,2102346.0,6.06,626671,60.88,72.28,1,24,20,13.18,12.31,0,11.2,7.7,0
677290,13521.26,50.09074598,90.27,87.35,57.13,1.71,1748477.0,5.64,597122,48.99,69.64,1,53,29,11.21,17.06,0,14.6,7.1,0
408540,13262.11,30.80505289,82.81,96.43,85.3,2.26,2862890.0,8.15,689786,66.96,74.69,1,50,14,26.88,10.96,0,12.3,8.6,0
477060,7805.54,61.11812892,93.76,94.42,91.15,5.82,2359854.0,5.23,558867,70.06,75.97,1,56,16,34.02,10.33,0,14.3,8.9,0
881030,10352.8,85.1006491,94.18,95.33,86.4,3.38,2389856.0,7.04,547696,56.7,75.59,1,66,31,20.68,12.01,0,5.6,4.9,0
585180,7658.15,76.41271064,90.75,94.43,89.49,3.45,2037171.0,9.72,647599,52.69,72.28,1,53,23,18.8,9.32,0,11.9,10.4,0
584920,8616.36,67.88481447,95.64,95.31,91.11,7.09,2192943.0,6.31,713826,53.86,75.96,1,78,19,29.01,12.77,0,17.5,9.1,0
663960,9068.46,73.21640058,86.56,97.21,79.71,4.42,2480756.0,7.07,511610,50.36,71.98,1,47,20,12.78,12.62,0,13.5,8.1,0
211790,3623.56,58.44804557,93.37,90.81,57.67,5.17,1489469.0,22.98,623576,63.19,68.96,1,21,10,5.58,15.95,0,15.4,8.6,0
1016360,638.33,1592.217192,99.17,96.13,95.13,6.2,2394334.0,3.16,712000,70.77,83.67,2,229,20,44.72,11.75,0,10.9,9.2,0
328910,2059.61,159.6952821,89.81,97.74,95.5,5.15,2459471.0,3.21,601348,68.42,76.45,2,50,11,16.88,12.42,0,11.8,5.3,0
255120,3445.2,74.05085336,79.25,78.26,68.98,2.48,1987865.0,7.54,485838,53.15,73.77,1,47,24,16.83,15.09,0,6.5,4.7,0
368390,7540.12,48.85731262,55.9,84.6,81.15,4.35,2109410.0,8.9,537492,41.64,71.81,1,58,27,21.93,15.14,0,6.1,4.2,0
302240,5935.89,50.9173856,71.44,79.7,79.79,5.09,1886101.0,8.54,545939,60.35,73.05,1,36,16,23.78,12.77,0,2.3,1.0,0
312730,5387.52,58.0471163,82.6,86.83,82.86,3.85,2236616.0,9.45,540168,55.99,72.5,1,37,19,17.56,15.48,0,9.5,6.0,0
418800,5225.8,80.14083968,73.0,93.52,85.66,5.4,2130113.0,4.43,535244,55.39,72.26,1,43,22,26.41,11.14,0,11.2,7.7,0
236730,4546.62,52.06724996,86.91,94.82,74.96,1.67,1971055.0,10.85,514905,57.97,69.85,0,29,17,19.84,12.32,0,16.4,11.2,1
330470,5546.06,59.58644515,92.04,86.79,77.87,2.95,1814694.0,9.79,499318,56.39,71.44,1,40,16,18.28,14.32,0,11.3,7.6,0
350760,6103.74,57.46640584,74.76,90.69,80.69,1.71,2072967.0,6.46,528310,56.86,71.99,1,30,20,21.45,13.98,0,13.7,7.9,1
376380,4760.83,79.05764331,76.02,83.47,83.86,5.23,1901878.0,5.29,517119,55.63,73.57,1,42,20,24.62,9.54,0,8.4,5.3,0
627770,169.89,3695.155689,98.41,97.47,98.08,8.27,3235097.0,8.24,667447,60.17,80.93,2,88,20,41.78,10.66,0,7.2,9.9,0
99770,364.92,273.4023896,90.74,73.54,83.52,3.8,2021608.0,3.0,491568,78.39,77.2,2,52,11,23.17,15.75,0,3.1,1.4,0
379130,3774.5,100.4450921,82.33,85.49,80.78,4.13,1389032.0,11.46,548200,47.3,73.17,1,50,19,22.31,6.22,1,14.7,6.2,0
797429,17071.33,46.71159189,80.59,76.72,69.73,3.23,2105053.0,13.15,444881,35.46,70.8,0,52,33,10.32,6.3,0,20.1,8.3,1
633779,6763.91,93.70009358,90.78,82.91,85.58,3.92,1487470.0,10.93,467396,62.21,72.33,1,64,22,13.32,6.13,0,17.5,11.1,1
444949,4333.07,102.6867787,86.16,78.55,70.19,3.41,1597063.0,15.0,547203,55.24,72.15,1,84,33,18.13,5.41,0,7.9,4.1,0
407694,6122.59,66.58848625,89.34,93.15,74.5,1.95,1694338.0,14.13,564151,73.55,70.52,0,57,20,15.17,8.12,0,20.1,11.4,1
644386,14550.79,44.2852931,85.58,90.97,83.52,2.58,2415678.0,14.9,593258,61.65,71.3,1,73,29,11.37,4.58,0,16.0,9.6,0
874210,12262.76,71.28982382,80.66,91.22,74.53,3.35,2397537.0,9.58,509264,63.7,70.67,0,61,35,16.15,4.48,0,17.1,11.0,1
424190,3412.72,124.2967486,80.18,76.51,63.2,1.81,1167018.0,10.36,413228,52.61,69.05,1,23,19,7.59,10.47,0,12.9,11.4,1
668035,4369.25,152.8946616,96.92,90.01,88.25,3.96,1322883.0,9.99,410548,47.81,73.05,1,54,22,15.48,8.4,0,8.7,7.5,0
431043,2302.86,187.1772492,75.1,76.55,76.17,2.1,1639946.0,13.28,571657,59.43,72.01,1,44,26,13.97,8.55,0,16.7,7.9,1
342178,2234.1,153.161452,65.94,68.45,67.81,3.09,1364698.0,11.8,411191,58.92,69.07,1,41,10,9.64,12.35,0,18.9,12.5,1
202681,1842.56,109.9996744,91.18,92.79,95.22,3.99,1455086.0,10.91,487341,67.98,68.78,0,17,9,8.98,8.28,0,10.2,6.8,0
195962,5937.8,33.00245882,86.25,73.43,68.57,5.11,1968165.0,18.26,604903,69.55,69.63,0,22,9,13.74,7.49,0,18.5,15.9,1
1706371,352.51,4840.631471,96.71,93.17,95.16,7.49,2321726.0,10.22,643356,64.4,81.72,2,241,40,36.62,4.59,0,16.1,11.5,0
200673,447.31,448.6217612,95.69,92.39,96.44,5.05,1552232.0,11.23,649951,73.47,78.07,2,44,9,40.64,8.09,0,12.5,9.1,0
147836,625.91,236.193702,88.58,83.15,61.28,2.71,1865778.0,8.88,408917,81.74,73.25,1,33,7,20.51,10.23,0,8.4,5.3,1
242976,367.73,660.7456558,97.52,91.3,86.05,5.64,2373799.0,12.65,583867,78.68,78.36,1,39,10,27.98,7.84,0,13.8,9.0,0
171500,1220.21,140.5495775,62.72,90.52,83.81,3.56,1620519.0,17.51,467762,50.01,74.06,1,49,13,17.6,9.16,0,9.8,14.9,1
285700,1548.99,184.4427659,56.37,90.0,64.41,2.94,2050221.0,14.79,566433,60.77,74.43,1,61,23,12.32,11.66,0,12.5,5.3,1
306700,4481.99,68.42942532,84.11,88.22,82.84,3.33,1972109.0,11.29,459171,60.72,72.27,1,42,28,20.73,7.49,1,14.2,7.1,1
131100,2608.91,50.25087105,84.18,90.78,86.43,3.81,1793447.0,17.83,415715,70.34,70.92,1,45,16,18.25,9.52,0,9.5,5.4,0
215100,2432.81,88.41627583,70.93,90.38,87.17,2.68,1600361.0,18.0,478617,54.45,70.27,1,55,22,25.53,9.06,0,14.8,5.8,1
198800,4138.68,48.03463906,75.45,94.78,80.94,3.14,2513027.0,10.76,534660,57.68,73.0,1,31,17,33.04,4.86,1,14.1,14.3,1
110300,1666.62,66.18185309,59.7,77.51,55.62,2.72,1391866.0,11.15,507046,48.86,72.95,1,22,13,14.85,9.94,0,5.2,8.2,0
154700,749.39,206.4345668,62.14,91.63,69.25,2.41,1574808.0,14.12,465292,46.88,71.38,1,35,13,18.92,13.17,0,11.3,2.6,1
121100,1132.3,106.9504548,50.44,87.15,83.07,3.2,1815248.0,9.4,549468,60.38,70.81,1,38,20,35.29,7.89,0,12.2,8.6,1
391100,150.31,2601.955958,93.38,95.6,93.94,5.04,2254892.0,14.71,810507,60.53,83.38,2,113,20,41.87,9.81,0,4.5,4.1,0
312430,2116.01,147.650531,63.16,97.61,83.95,2.25,1381792.0,11.17,530803,63.08,71.72,1,45,17,11.92,8.5,0,13.5,4.9,1
662540,2901.98,228.3061909,63.71,86.5,67.82,3.35,1320125.0,10.52,463925,49.04,69.93,0,71,25,6.57,9.19,0,13.0,6.5,0
1105000,2218.84,498.0079681,89.85,94.39,95.58,4.95,1673470.0,12.79,508494,45.76,71.55,0,71,35,13.95,7.61,0,11.0,7.1,0
1142580,3867.43,295.4365043,85.51,95.57,84.16,3.09,1674350.0,13.8,465856,43.61,72.44,1,48,37,14.97,10.59,0,13.3,6.3,0
1508330,4548.93,331.5790746,85.89,91.6,80.2,3.25,1489979.0,10.65,503645,44.58,73.39,0,77,42,18.3,9.35,0,14.8,7.0,0
653850,2656.39,246.142321,67.73,95.74,80.23,5.73,1564167.0,17.17,510098,43.04,70.78,1,72,27,8.81,10.28,0,18.0,7.4,1
491110,3531.1,139.0813061,69.07,90.14,78.48,3.07,1743659.0,11.02,433471,54.87,70.51,0,60,11,12.12,7.11,0,16.4,10.2,1
445170,3107.47,143.2580202,84.62,91.19,84.49,3.46,1716040.0,8.04,522396,59.58,71.56,0,32,20,18.92,8.44,0,10.9,9.9,0
494280,1279.6,386.2769616,87.49,91.2,88.73,4.76,1376401.0,12.89,491249,57.75,69.46,0,26,13,8.29,8.43,0,6.3,5.2,0
419590,614.97,682.2934452,95.64,92.71,88.72,4.66,1222457.0,9.14,555787,51.81,73.11,1,53,12,17.64,10.82,0,16.3,8.8,0
237940,2200.51,108.1294791,81.39,92.81,81.14,2.46,2016626.0,6.73,525183,56.3,67.79,0,18,8,12.2,8.75,0,2.9,3.1,0
295480,1281.45,230.5825432,59.03,96.75,77.09,3.89,1727556.0,7.25,511418,64.11,69.38,0,39,11,16.9,8.07,0,9.7,7.1,0
169750,2993.8,56.7005144,67.78,86.42,79.23,3.47,1629069.0,13.49,545538,52.89,70.4,1,29,12,10.28,7.23,0,11.5,10.3,0
1202070,183.72,6542.945787,98.06,97.02,92.85,7.43,2023694.0,7.77,761790,66.28,79.86,2,85,29,31.62,7.43,1,8.6,8.4,0
173870,73.21,2374.948777,95.85,92.93,98.89,3.06,1792409.0,7.28,480830,92.86,79.85,2,42,11,35.71,8.38,0,9.1,8.2,0
337900,3016.85,112.0042428,73.64,96.04,97.26,5.03,2301058.0,4.32,685810,81.01,74.34,1,66,12,44.57,13.4,1,13.9,11.0,1
189200,2270.71,83.32195657,87.09,91.19,92.62,4.14,2643859.0,6.46,896948,74.27,74.49,1,25,10,26.47,13.14,1,12.3,5.1,1
212900,2851.41,74.66481495,82.26,93.7,90.87,4.77,2372653.0,2.71,681517,78.87,71.13,1,40,7,24.26,13.79,0,16.0,8.5,1
207400,2259.98,91.77072363,85.02,96.97,92.97,3.88,2259314.0,5.29,814969,72.49,72.36,0,25,9,18.9,14.51,1,15.3,8.6,0
205800,3598.24,57.19462849,73.72,92.6,89.27,4.84,2448931.0,3.11,669016,73.97,69.67,0,34,10,20.41,13.08,0,13.3,7.4,1
131300,2588.4,50.72631742,75.83,92.98,90.03,2.41,2637568.0,6.73,899482,83.04,73.31,1,23,8,23.78,12.24,0,12.3,7.2,0
227300,104.54,2174.287354,95.65,99.49,95.35,5.76,2999816.0,4.27,894224,71.83,80.45,2,42,9,51.53,12.74,1,9.7,5.9,1
260600,930.45,280.0795314,87.91,96.47,96.85,6.02,2378298.0,5.95,468332,59.48,74.7,1,24,14,43.33,14.7,0,13.4,6.2,0
165900,1317.15,125.9537638,84.47,91.32,86.74,5.43,1950813.0,5.9,474674,70.35,77.5,1,30,16,35.35,15.28,1,15.4,9.8,1
84600,1999.16,42.31777346,88.52,93.97,76.56,4.05,1883825.0,5.25,480103,82.45,78.23,1,43,13,27.97,15.94,0,14.6,8.7,0
101000,2210.82,45.68440669,84.6,90.08,70.13,3.52,1751915.0,11.26,540936,72.15,72.23,0,20,13,23.2,24.11,0,14.8,10.2,1
49100,627.03,78.30566321,28.96,93.83,30.46,2.55,2650782.0,6.95,481718,73.67,72.8,0,23,10,28.75,13.71,0,13.8,8.6,0
1256600,1034.73,1214.423086,95.94,96.31,94.45,8.14,3593241.0,5.02,854465,50.68,82.64,2,70,19,53.09,7.53,0,11.5,5.3,0
234800,150.37,1561.481679,93.77,95.72,92.69,4.76,2524549.0,7.95,771584,68.73,81.14,2,27,7,47.68,10.07,0,14.1,7.5,0
323500,849.13,384.2955571,96.02,81.42,96.05,2.52,1434656.0,4.96,496435,56.0,74.8,1,35,10,17.93,7.6,2,6.9,3.2,0
466100,849.31,459.7190989,98.41,89.94,95.56,2.64,2158799.0,4.7,562801,53.96,77.87,1,79,20,38.26,3.15,0,6.7,3.3,0
563300,398.75,1345.611772,99.52,95.53,98.98,2.72,3445410.0,2.3,688018,72.7,83.0,2,68,13,27.59,1.23,0,3.5,1.7,0
524000,364.36,1423.913043,99.88,90.15,99.0,2.96,2189584.0,4.47,468307,54.8,79.69,1,67,13,42.22,1.66,0,5.8,2.3,0
208700,313.96,662.5396825,98.64,88.65,97.7,1.29,1712324.0,5.61,384983,61.07,74.18,1,43,9,21.65,4.94,0,3.7,1.4,0
261400,526.76,532.6975199,96.32,67.42,91.58,0.75,1868109.0,5.28,436928,54.94,71.99,1,49,12,23.98,3.71,2,4.3,1.7,0
500000,839.32,595.5642376,100.0,69.59,90.55,2.61,1245606.0,6.56,404083,55.85,70.09,0,45,12,15.86,8.43,4,6.1,2.4,0
808900,1322.68,592.7179735,95.49,80.44,90.99,3.6,1740109.0,5.85,537262,65.0,74.87,1,71,20,16.2,7.64,1,5.4,5.1,0
748400,125.87,5856.941618,99.84,93.56,99.92,2.85,3313934.0,2.68,778203,71.92,84.68,2,190,11,49.34,1.7,0,7.3,6.5,0
28925,10.73,2695.712954,87.66,89.27,85.66,8.47,1738765.0,14.11,743820,82.49,72.79,2,8,6,98.88,3.91,0,16.8,8.9,1
2244623,144.94,15486.56686,98.95,89.98,95.45,5.63,3482955.0,3.52,891580,72.39,85.21,2,327,60,85.43,2.51,0,8.5,6.8,0
3083883,185.54,16621.12213,98.81,91.35,94.32,8.39,3168436.0,4.3,669713,69.89,83.45,2,304,63,84.79,3.71,0,11.7,8.0,0
1079995,47.56,22708.05299,98.83,75.25,92.35,5.88,3557990.0,4.9,784679,79.1,82.11,2,376,37,89.87,3.82,0,11.6,8.8,0
2448975,125.0,19591.8,99.31,88.46,91.65,7.1,4203279.0,4.22,657247,67.86,82.51,2,266,53,86.13,2.8,0,12.7,7.8,0
1793550,147.46,12162.95945,98.0,85.38,88.92,8.04,7211579.0,7.24,684557,69.31,80.81,2,147,31,85.38,4.78,0,14.0,9.4,0
5566840,2991.78,1860.711683,92.28,85.77,73.47,10.64,2030305.0,7.73,482174,38.19,71.2,2,273,109,29.03,7.03,1,16.6,7.2,1
2806660,4164.15,674.0054993,85.7,83.71,63.32,7.77,1890323.0,7.34,392705,55.6,67.64,0,123,60,9.17,7.42,0,16.2,5.8,1
2542790,3631.92,700.1228001,80.79,78.96,61.76,8.41,1413799.0,10.55,437327,28.13,65.94,0,79,47,7.74,9.54,0,10.8,4.2,0
3718660,1740.84,2136.129685,93.79,88.55,70.85,6.98,2046094.0,6.8,426069,53.7,73.16,1,215,63,22.46,8.3,0,14.0,2.9,1
2627220,3101.24,847.151462,78.15,77.05,51.9,7.6,1577196.0,10.42,367681,49.21,67.41,0,91,68,7.96,7.74,0,13.1,3.8,1
1906290,2705.86,704.5042981,89.35,76.59,54.39,4.17,1258220.0,10.73,378958,52.48,66.84,0,68,40,7.85,10.45,0,13.3,2.4,1
1247770,1595.94,781.8401694,93.8,88.12,75.5,3.75,1379048.0,7.72,442108,62.85,71.45,0,73,36,12.68,6.74,0,14.1,7.1,0
1196020,1192.9,1002.615475,95.51,91.41,69.29,9.81,1585507.0,12.76,402767,53.96,70.16,0,78,38,16.52,6.63,0,13.4,5.5,0
2315420,1071.95,2160.007463,94.99,77.99,86.76,8.11,1835970.0,12.01,451853,51.54,70.06,0,153,63,16.58,9.04,0,19.7,9.3,0
1335460,1330.17,1003.976935,95.7,90.34,81.26,4.16,1518006.0,11.94,520713,58.47,68.56,0,82,32,14.67,9.88,0,16.1,7.7,1
1167030,1566.2,745.134721,95.84,90.12,80.59,7.72,1601751.0,10.14,396573,61.26,72.69,0,70,35,17.64,7.43,0,15.7,3.7,1
1871830,2076.06,901.6261572,95.25,81.39,86.64,6.49,1901275.0,12.77,532545,73.78,68.55,0,75,49,14.2,5.99,0,19.1,9.2,1
1624390,2165.55,750.1050541,98.01,92.2,80.02,7.77,1948730.0,9.75,404320,47.63,69.87,0,76,40,18.34,7.06,0,12.5,7.8,0
1028570,993.09,1035.726873,92.59,93.03,82.46,8.75,1957779.0,8.7,434187,55.55,71.56,0,72,20,25.72,6.72,0,14.1,6.6,1
2505250,1913.71,1309.106395,98.19,85.42,85.1,9.87,2334853.0,8.44,555889,46.12,71.74,2,135,51,31.78,6.73,0,13.7,7.2,0
3214790,1251.02,2569.735096,94.86,92.61,89.99,10.31,2404396.0,5.01,632811,36.4,75.22,2,230,50,22.98,4.3,2,8.1,8.4,0
1846970,1283.44,1439.077791,86.6,88.3,50.96,9.63,1775068.0,10.82,426355,53.6,69.04,0,95,33,18.07,7.81,0,15.7,4.1,1
432380,1128.18,383.2544452,84.14,90.04,83.0,1.56,1367906.0,9.32,447242,44.85,69.03,0,44,15,0.99,5.77,0,13.9,4.9,1
1063510,111.37,9549.340038,98.73,91.14,67.93,10.78,2493000.0,7.1,661384,52.0,77.17,2,207,24,32.73,5.35,0,13.0,5.5,0
356410,48.31,7377.561581,97.82,94.18,45.8,8.83,2012715.0,8.02,644276,82.15,75.4,2,47,15,28.3,8.46,0,14.2,7.2,0
2461550,166.59,14776.097,99.03,82.35,49.85,9.55,2325257.0,4.25,591124,75.7,82.5,2,350,71,32.57,4.55,0,12.5,4.2,0
341240,39.44,8652.129817,99.05,85.36,90.62,8.42,1849590.0,9.82,520579,87.75,75.89,2,88,21,27.63,7.97,0,17.6,12.6,0
2590260,213.04,12158.56177,98.28,95.2,90.8,8.81,3014772.0,4.43,795965,51.79,82.46,2,279,43,44.8,3.33,0,15.0,5.6,0
2123350,199.91,10621.52969,99.44,98.9,96.21,7.82,2895486.0,2.53,804984,74.44,81.86,2,125,37,45.81,2.15,0,12.1,6.1,0
575240,42.43,13557.38864,97.81,87.4,77.18,10.77,2275948.0,5.11,590197,57.78,78.77,2,75,12,45.85,4.63,0,9.9,2.8,0
733470,183.94,3987.550288,96.81,86.1,52.62,6.62,1727815.0,12.72,537497,76.45,73.83,0,80,23,13.35,7.92,0,13.0,5.5,1
206460,131.01,1575.910236,97.67,92.91,88.26,5.53,1397678.0,6.73,408710,68.56,72.55,0,43,10,16.93,6.4,0,12.8,6.2,0
1988622,2323.93,855.7151033,90.56,89.05,79.1,9.62,1046090.0,11.02,419429,45.5,70.99,0,94,38,12.01,16.69,0,15.8,7.6,0
1806013,1391.15,1298.215865,90.03,90.08,79.8,6.05,1059036.0,12.84,479027,52.57,73.17,0,157,39,24.17,11.93,0,14.0,5.9,0
1019840,805.76,1265.687053,88.61,90.86,78.56,5.23,1020756.0,15.3,439208,54.69,69.54,0,58,22,14.14,13.24,0,16.1,6.5,1
1038718,1144.9,907.256529,89.21,85.22,51.66,6.38,1027275.0,15.2,380046,60.84,68.61,0,97,35,9.76,14.37,0,12.1,3.5,1
1376825,1334.1,1032.025335,87.38,92.48,93.49,5.92,946706.0,16.41,451678,71.8,70.79,0,93,35,14.83,12.46,0,17.1,6.3,1
778257,1081.96,719.3029317,89.1,89.12,80.21,4.45,936413.0,11.53,427622,35.88,73.6,2,63,27,21.58,16.57,0,18.4,8.9,1
896346,1011.62,886.0500979,90.28,89.55,55.3,5.01,1004002.0,16.17,425105,63.81,68.89,0,57,24,12.46,14.92,0,12.5,3.9,1
1312573,1129.98,1161.589586,94.65,87.09,80.49,4.97,974178.0,11.09,411129,61.88,70.85,0,69,28,14.6,15.84,0,16.9,3.9,1
1079952,1096.59,984.8275107,96.36,88.14,92.4,4.92,1307210.0,9.82,420339,45.58,74.97,2,75,24,23.28,14.24,0,17.5,7.4,1
1275850,701.5,1818.745545,97.97,91.42,95.0,4.31,1356181.0,12.33,488102,43.57,76.95,2,130,36,27.63,15.45,0,16.1,6.2,0
916627,493.53,1857.287298,99.45,90.36,96.14,2.47,1566507.0,7.61,476675,70.5,77.94,2,94,12,33.57,12.74,0,18.0,9.5,0
1057087,1905.74,554.6858438,94.67,94.58,94.62,1.95,1034585.0,10.99,414901,55.63,71.04,0,84,40,15.21,12.82,0,12.9,5.3,0
947642,803.05,1180.053546,98.18,96.13,96.32,5.7,1349950.0,9.85,465703,66.57,76.58,2,60,21,24.95,10.68,0,15.0,5.8,1
992243,994.57,997.6602954,96.85,91.7,93.08,4.69,1338235.0,12.94,426482,47.01,74.65,0,89,25,19.21,11.8,0,21.1,10.8,1
1470150,2023.85,726.4125306,81.85,84.32,87.93,4.4,1586556.0,11.8,464614,40.45,70.97,0,84,31,11.64,15.88,0,17.3,9.3,0
888224,1957.29,453.8029623,93.39,88.45,91.52,3.7,1087942.0,11.53,425135,64.27,69.95,0,77,26,14.13,15.49,1,21.7,8.1,1
650770,1037.54,627.2240106,96.43,92.03,92.92,1.76,1300162.0,14.65,477514,58.74,71.0,0,73,17,9.82,11.22,0,21.8,9.9,1
1339572,1572.9,851.657448,96.67,93.67,93.8,4.45,1537447.0,9.33,532545,45.22,73.14,0,95,29,24.5,9.83,0,21.2,10.3,1
856472,447.44,1914.160558,95.7,95.11,92.78,3.21,1551767.0,7.41,520830,64.63,75.89,2,62,18,32.56,11.72,0,22.9,15.8,0
1192811,1020.25,1169.135996,83.46,87.84,68.14,4.1,1356300.0,6.88,479131,58.78,73.15,1,70,22,13.93,12.11,0,19.8,11.4,0
1223217,977.77,1251.027338,93.64,93.57,91.64,6.11,1681186.0,12.09,511145,50.8,73.36,0,57,26,17.49,9.0,0,22.3,11.8,0
1068492,1019.27,1048.291424,93.7,92.74,85.91,4.81,1314779.0,7.27,498952,54.94,74.67,2,86,26,27.35,10.61,0,12.4,3.2,0
799764,864.83,924.7644046,94.15,93.28,75.3,2.54,1095794.0,9.33,388369,55.7,70.77,0,50,25,12.46,14.99,0,18.8,6.1,1
1033367,1008.12,1025.043646,95.15,91.44,82.65,7.34,1297523.0,9.48,465936,55.72,73.19,0,87,28,20.52,13.87,0,17.1,10.1,0
813791,857.27,949.2820232,93.63,93.52,67.29,6.64,1416484.0,8.98,378858,49.9,69.45,0,54,21,10.31,10.23,0,17.0,5.0,1
986455,892.91,1104.764198,91.59,85.2,77.8,3.23,1295444.0,9.67,480934,47.58,70.81,0,66,27,12.42,7.8,0,21.9,10.3,1
