tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2023,31,DKI Jakarta,3101,Kepulauan Seribu,28253,10.725,2634.312354,91.51,94.93,82.55,8.11,2132501,13.13,743820,82.49,75.91,SMA,8,6,99.29,3.63,0,18.6,5.8,10.2,18.6,Tidak Prioritas
2023,31,DKI Jakarta,3171,Jakarta Selatan,2235606,144.942,15424.14207,99.85,90.77,94.46,5.37,4446097,3.1,891580,72.39,86.71,SMA,270,60,86.96,2.28,0,11.6,5.9,11.4,16.6,Tidak Prioritas
2023,31,DKI Jakarta,3172,Jakarta Timur,3079618,185.538,16598.31409,100,92.81,94.19,7.24,3398513,4.2,669713,69.89,84.26,SMA,290,63,88.2,3.08,0,13.4,6.8,9.3,16.8,Tidak Prioritas
2023,31,DKI Jakarta,3173,Jakarta Pusat,1049314,47.565,22060.63282,99.92,70.24,93.09,6.42,3508236,4.68,784679,79.1,83.29,SMA,282,37,94.38,2.91,0,15,5,8.7,19.1,Tidak Prioritas
2023,31,DKI Jakarta,3174,Jakarta Barat,2470054,125,19760.432,99.13,89.96,93.96,6.39,3932710,4.09,657247,67.86,83.85,SMA,216,53,86.99,2.03,0,17.2,7.5,11,17.1,Tidak Prioritas
2023,31,DKI Jakarta,3175,Jakarta Utara,1808985,147.212,12288.29851,98.13,87.22,90.96,7.05,4746281,6.78,684557,69.31,81.85,SMA,157,31,89.16,2.62,0,16,7,9.5,19.8,Tidak Prioritas
2023,32,Jawa Barat,3201,Bogor,5627020,2991.78,1880.826799,91.9,91.39,71.49,8.47,2111192,7.27,482174,38.19,73.02,SMA,183,109,29.53,5.3,18,19.7,4,8.5,27.6,Prioritas
2023,32,Jawa Barat,3202,Sukabumi,2802400,4164.15,672.9824814,85.72,85.27,53.21,7.32,1853457,7.01,392705,55.6,69.71,SD,73,60,12.9,5.98,3,17.9,3.6,6.4,27,Prioritas
2023,32,Jawa Barat,3203,Cianjur,2558140,3631.92,704.3492147,85.65,81.49,63.83,7.71,1728848,10.22,437327,28.13,68.18,SD,55,47,8.75,7.02,1,7,2.4,3.4,11.4,Tidak Prioritas
2023,32,Jawa Barat,3204,Bandung,3721110,1740.84,2137.537051,95.73,83.87,66.67,6.52,2013999,6.4,426069,53.7,74.03,SMP,137,63,26.61,5.19,6,15.8,3.3,6.2,29.2,Prioritas
2023,32,Jawa Barat,3205,Garut,2683670,3101.24,865.3538585,81.13,81.87,54.68,7.33,1630376,9.77,367681,49.21,69.22,SD,89,68,8.19,5.76,1,12.7,2.6,3.1,24.1,Prioritas
2023,32,Jawa Barat,3206,Tasikmalaya,1907050,2705.86,704.78517,89.03,77,51.33,3.89,1349553,10.28,378958,52.48,69.38,SD,70,40,10.63,8.65,1,10.1,3.9,4,20.7,Prioritas
2023,32,Jawa Barat,3207,Ciamis,1251540,1595.94,784.2024136,94.39,88.06,71.38,3.52,1580947,7.42,442108,62.85,73.12,SD,63,36,13.18,6.1,3,16.4,4.2,5.2,25.4,Prioritas
2023,32,Jawa Barat,3208,Kuningan,1201760,1192.9,1007.427278,96.57,87.16,83.03,9.49,1442750,12.12,402767,53.96,70.99,SD,75,38,19.76,6.43,2,15.7,3.1,6.4,23.4,Prioritas
2023,32,Jawa Barat,3209,Cirebon,2360440,1071.95,2202.005691,98.52,67.15,89.02,7.65,2387051,11.2,451853,51.54,71.81,SD,141,63,15.91,7.28,6,18.6,4.7,9.7,22.9,Prioritas
2023,32,Jawa Barat,3210,Majalengka,1340620,1330.17,1007.856139,93.38,87.11,82.67,4.12,1479836,11.21,520713,58.47,70.76,SD,81,32,17.01,7.9,3,15,5.3,7,24.1,Prioritas
2023,32,Jawa Barat,3211,Sumedang,1178240,1566.2,752.2921721,95.42,90.36,72.55,6.94,1760727,9.36,396573,61.26,74.02,SD,59,35,22.44,5.55,1,10,2.7,3.9,14.4,Tidak Prioritas
2023,32,Jawa Barat,3212,Indramayu,1894330,2076.06,912.4639943,97.77,79.66,95.9,6.46,2066665,12.13,532545,73.78,70.19,SD,68,49,14.71,5.4,1,15.4,5.4,9.5,18.4,Tidak Prioritas
2023,32,Jawa Barat,3213,Subang,1649820,2165.55,761.8480294,99.22,93.77,89.4,7.65,1999766,9.52,404320,47.63,71.42,SD,77,40,17.23,6.23,3,13.3,6,9.5,18.7,Tidak Prioritas
2023,32,Jawa Barat,3214,Purwakarta,1037070,993.09,1044.286016,85.4,91.45,77.33,7.72,1990463,8.46,434187,55.55,73.43,SD,62,20,30.29,5.07,1,14.1,4.6,6.5,24,Prioritas
2023,32,Jawa Barat,3215,Karawang,2526000,1913.71,1319.949209,98.11,87.07,83.02,8.95,2324648,7.87,555889,46.12,73.25,SMA,120,51,29.65,5.93,1,14.7,3,6.3,17.1,Tidak Prioritas
2023,32,Jawa Barat,3216,Bekasi,3237420,1251.02,2587.824335,96.95,93.33,91.54,8.87,2836509,4.93,632811,36.4,76.13,SMA,144,50,36.32,4.36,3,17.9,4.4,7.7,23.2,Prioritas
2023,32,Jawa Barat,3217,Bandung Barat,1859640,1283.44,1448.949698,92.27,85.2,56.93,8.11,1832880,10.52,426355,53.6,70.33,SD,69,33,19.46,7.48,1,13.2,2,5.1,25.1,Prioritas
2023,32,Jawa Barat,3218,Pangandaran,431460,1128.18,382.4389725,82.95,90.01,86.91,1.52,1354394,8.98,447242,44.85,70.57,SD,43,15,14.18,6.04,0,13.1,4.9,7.7,23.9,Prioritas
2023,32,Jawa Barat,3271,Kota Bogor,1070720,111.37,9614.079195,99.61,93,74.36,9.39,2144760,6.67,661384,52,78.36,SMA,101,24,35.83,4.86,2,13.8,3.2,4.9,18.2,Tidak Prioritas
2023,32,Jawa Barat,3272,Kota Sukabumi,360640,48.31,7465.121093,98.74,90.37,44.76,8.53,2157734,7.5,644276,82.15,77.16,SMA,38,15,31.23,5.23,1,13.6,5,5.3,26.9,Prioritas
2023,32,Jawa Barat,3273,Kota Bandung,2506600,166.59,15046.5214,97.67,80.85,56.01,8.83,2739763,3.96,591124,75.7,83.29,SMA,247,71,32.28,3.64,0,11.3,4.1,5.5,16.3,Tidak Prioritas
2023,32,Jawa Barat,3274,Kota Cirebon,341980,39.44,8670.892495,99.57,78.57,93.27,7.66,1950312,9.16,520579,87.75,77.45,SMA,69,21,30.46,6.85,1,20.2,3.2,10.7,19.9,Tidak Prioritas
2023,32,Jawa Barat,3275,Kota Bekasi,2627210,213.04,12332.00338,98.77,97.2,98.52,7.9,3321402,4.1,795965,51.79,83.06,SMA,209,43,51.68,2.27,0,11.5,5.3,5.7,10.3,Tidak Prioritas
2023,32,Jawa Barat,3276,Kota Depok,2145400,199.91,10731.82932,99.56,98.56,97.43,6.97,3293957,2.38,804984,74.44,82.53,SMA,124,37,50.81,1.99,1,12.8,5.2,5.8,14.3,Tidak Prioritas
2023,32,Jawa Barat,3277,Kota Cimahi,590780,42.43,13923.63893,97.36,84.92,76.37,10.52,2391019,4.66,590197,57.78,79.69,SMA,51,12,43.12,2.98,1,14.1,3.7,4,24.5,Prioritas
2023,32,Jawa Barat,3278,Kota Tasikmalaya,741760,183.94,4032.619332,95.84,86.9,56.25,6.55,2099187,11.53,537497,76.45,75.47,SD,75,23,16.3,5.14,0,14,3.4,4.6,27.1,Prioritas
2023,32,Jawa Barat,3279,Kota Banjar,207510,131.01,1583.924891,94.34,92.75,89.06,5.43,1436716,6.14,408710,68.56,74.45,SD,38,10,20.26,5.55,0,15.7,3.8,8.2,23.6,Prioritas
2023,33,Jawa Tengah,3301,Cilacap,2007830,2323.93,863.9804125,88.75,89.21,80.38,8.74,2485171,10.99,419429,45.5,72.04,SD,91,38,15.1,12.29,7,14.4,3.6,7.4,18.5,Tidak Prioritas
2023,33,Jawa Tengah,3302,Banyumas,1828570,1391.15,1314.430507,93.57,90.76,83,6.35,2252959,12.53,479027,52.57,73.96,SD,145,39,24.2,10.84,4,12.3,2.9,4.1,20.9,Prioritas
2023,33,Jawa Tengah,3303,Purbalingga,1027330,805.76,1274.982625,82.82,90.64,77.19,5.61,1810299,14.99,439208,54.69,70.51,SD,54,22,16.48,10.08,1,15.7,3.3,6,26,Prioritas
2023,33,Jawa Tengah,3304,Banjarnegara,1047230,1144.9,914.6912394,87.56,87.89,46.09,6.26,1930814,14.9,380046,60.84,69.16,SD,85,35,10.6,12.14,0,12,4.7,4.9,19.9,Tidak Prioritas
2023,33,Jawa Tengah,3305,Kebumen,1397560,1334.1,1047.567649,87.34,89.22,93.68,5.11,1816060,16.34,451678,71.8,71.88,SD,88,35,12.52,12,0,15.5,1.6,4.7,21.9,Prioritas
2023,33,Jawa Tengah,3306,Purworejo,788270,1081.96,728.5574328,91.26,86.89,81.43,4.02,2220234,11.33,427622,35.88,74.35,SMA,62,27,20.26,14.71,2,11.3,3.6,6.2,20.6,Prioritas
2023,33,Jawa Tengah,3307,Wonosobo,909660,1011.62,899.2111662,94.61,90.29,58.14,4.95,2059530,15.58,425105,63.81,70.18,SD,48,24,10.51,12.89,0,16.2,3.8,5.1,29.2,Prioritas
2023,33,Jawa Tengah,3308,Magelang,1330660,1129.98,1177.596064,97.5,87.31,85.14,4.42,1884529,10.96,411129,61.88,71.56,SD,66,28,16.56,11.23,2,12,4.3,4.7,25.8,Prioritas
2023,33,Jawa Tengah,3309,Boyolali,1090130,1096.59,994.1090107,94.36,89.81,89.31,4.05,2377454,9.81,420339,45.58,75.41,SMA,69,24,24.68,12.73,0,18,3.2,6.2,21.5,Prioritas
2023,33,Jawa Tengah,3310,Klaten,1284390,701.5,1830.919458,99.52,91.7,97.16,4.2,2249792,12.28,488102,43.57,77.59,SMA,123,36,29.05,14.46,2,18.6,5.8,7.5,24.5,Prioritas
2023,33,Jawa Tengah,3311,Sukoharjo,932680,493.53,1889.814196,99.71,88.84,95.68,3.4,2442727,7.58,476675,70.5,78.65,SMA,82,12,35.65,10.31,0,15.1,4.9,6.8,24.3,Prioritas
2023,33,Jawa Tengah,3312,Wonogiri,1051090,1905.74,551.5390347,96.57,93.69,96.12,1.92,2069081,10.94,414901,55.63,71.97,SD,80,40,15.41,10.8,0,9.8,4.3,3.2,19.5,Tidak Prioritas
2023,33,Jawa Tengah,3313,Karanganyar,955120,803.05,1189.365544,98.48,95.75,97.03,4.35,2308459,9.79,465703,66.57,77.31,SMA,54,21,29.81,10.63,0,10.7,6.2,5.3,22.2,Prioritas
2023,33,Jawa Tengah,3314,Sragen,997490,994.57,1002.935942,98.14,90.06,95.3,3.87,2111776,12.87,426482,47.01,75.1,SD,74,25,18.4,10.8,7,12,4.4,7.8,18.4,Tidak Prioritas
2023,33,Jawa Tengah,3315,Grobogan,1492890,2023.85,737.6485411,82.18,88.17,90.49,4.02,2534557,11.72,464614,40.45,71.49,SD,81,31,12.06,13.23,3,15.1,6.1,12.7,20.2,Prioritas
2023,33,Jawa Tengah,3316,Blora,901620,1957.29,460.6471192,93.54,90.17,90.72,3.1,2535257,11.49,425135,64.27,70.63,SD,68,26,15.24,11.27,2,17.3,4.2,8.3,21.2,Prioritas
2023,33,Jawa Tengah,3317,Rembang,660170,1037.54,636.2839023,95.34,89.57,95.44,2.6,2589270,14.17,477514,58.74,71.89,SD,69,17,13.11,10.15,0,17.6,2.6,10.1,19.5,Tidak Prioritas
2023,33,Jawa Tengah,3318,Pati,1359360,1572.9,864.2380317,95.92,94.23,95.8,4.29,2248444,9.31,532545,45.22,73.59,SD,91,29,22.65,7.78,0,14.8,6.4,7.5,18.5,Tidak Prioritas
2023,33,Jawa Tengah,3319,Kudus,874630,447.44,1954.742535,94.62,89.63,92.12,3.25,2495820,7.24,520830,64.63,76.71,SMA,59,18,36.31,8.36,0,9.9,7.9,8.7,15.7,Tidak Prioritas
2023,33,Jawa Tengah,3320,Jepara,1221090,1020.25,1196.853712,83.79,87.66,70.49,3.35,2069074,6.61,479131,58.78,73.85,SMP,62,22,16.95,10.02,0,17.1,2.8,10.4,18.9,Tidak Prioritas
2023,33,Jawa Tengah,3321,Demak,1240510,977.77,1268.713501,92.26,92.59,93.6,5.38,2559193,12.01,511145,50.8,74.07,SMA,57,26,19.93,7.77,0,14.1,2.6,6.8,9.5,Tidak Prioritas
2023,33,Jawa Tengah,3322,Semarang,1080650,1019.27,1060.219569,95.84,93.19,85.5,4.05,2456279,7.17,498952,54.94,75.13,SMP,87,26,29.74,8.28,1,13,5.2,6.5,18.8,Tidak Prioritas
2023,33,Jawa Tengah,3323,Temanggung,808450,864.83,934.8079969,97.8,91.34,69.89,2.32,2097542,9.26,388369,55.7,71.33,SD,47,25,11.1,10.26,1,12.5,2.9,3.6,25.1,Prioritas
2023,33,Jawa Tengah,3324,Kendal,1052830,1008.12,1044.349879,96.78,90.3,78.33,5.76,2241473,9.39,465936,55.72,73.86,SMP,93,28,20.97,11.9,1,20.1,9.4,16.9,22.4,Prioritas
2023,33,Jawa Tengah,3325,Batang,828880,857.27,966.8832457,96.79,93.45,61.7,6.06,1988954,8.92,378858,49.9,70.2,SD,48,21,12.55,9.38,1,16.2,6.3,11,24.7,Prioritas
2023,33,Jawa Tengah,3326,Pekalongan,1007380,892.91,1128.198811,95.65,87.67,83.47,3.25,2046671,9.67,480934,47.58,71.45,SD,56,27,13.88,6.73,0,21.8,2.9,11.3,28.6,Prioritas
2023,33,Jawa Tengah,3327,Pemalang,1523620,1137.41,1339.55214,97.68,86.47,80.73,6.55,2025318,15.03,467204,52.05,68.08,SD,75,25,14.27,9.47,0,10.6,3.5,6.7,15.3,Tidak Prioritas
2023,33,Jawa Tengah,3328,Tegal,1654840,983.9,1681.918894,98.17,89.05,85.87,8.6,2039714,7.3,470728,70.65,71.12,SD,76,31,18.71,12.25,1,13.9,2.6,4.2,21.5,Prioritas
2023,33,Jawa Tengah,3329,Brebes,2043080,1742.81,1172.290726,88.78,83.99,82.8,8.98,2124307,15.78,513339,62.51,69.71,SD,91,38,10.78,9.37,0,14.1,2,5.4,21.6,Prioritas
2023,33,Jawa Tengah,3371,Kota Magelang,122150,18.56,6581.357759,100,89.42,84.93,5.25,2505077,6.11,602794,93.11,81.17,SMA,43,5,32.64,10.34,0,11.9,5.5,4.5,15.4,Tidak Prioritas
2023,33,Jawa Tengah,3372,Kota Surakarta,526870,46.72,11277.18322,99.16,78.62,89.97,4.58,2336482,8.44,600953,76.41,83.54,SMA,137,17,30.47,7.92,0,13.4,6.4,3.6,16,Tidak Prioritas
2023,33,Jawa Tengah,3373,Kota Salatiga,198920,54.98,3618.042925,98.71,88.12,98.15,4.57,2952582,4.66,565031,94.48,84.99,SMA,36,6,43.33,5.83,2,10.9,7.7,4.7,16.9,Tidak Prioritas
2023,33,Jawa Tengah,3374,Kota Semarang,1694740,370,4580.378378,99.88,91.26,95.31,5.99,3505157,4.23,642456,68.69,84.43,SMA,264,33,40.19,6.81,2,11.8,6.2,6.2,15.7,Tidak Prioritas
2023,33,Jawa Tengah,3375,Kota Pekalongan,317520,46.2,6872.727273,98.88,72.44,90.69,5.02,2416966,6.81,565998,76.26,76.71,SMA,36,14,18.42,7.76,0,20.9,3.3,13.9,28.2,Prioritas
2023,33,Jawa Tengah,3376,Kota Tegal,282780,39.08,7235.926305,100,72.2,94.12,6.05,2279411,7.68,623617,58.89,77.06,SMA,40,8,31.33,7.16,0,20.3,4.8,9.3,22.3,Prioritas
2023,34,DI Yogyakarta,3401,Kulonprogo,443053,577.22,767.563494,89.61,89.57,97.19,2.4,1149631,15.64,416870,84.88,75.82,SMP,73,21,18,13.44,0,12.9,3.6,5.3,21.2,Prioritas
2023,34,DI Yogyakarta,3402,Bantul,1009434,511.71,1972.668113,96.29,86.12,97.3,3.78,1542418,11.96,488340,68.6,81.74,SMP,151,27,24.18,9.75,0,14.7,3.4,7.9,20.5,Prioritas
2023,34,DI Yogyakarta,3403,Gunungkidul,751011,1475.15,509.1082263,98.3,89.11,95.78,2.09,1193430,15.6,382249,73.54,71.46,SD,69,30,9.98,14.67,1,14.5,3.7,7.2,22.2,Prioritas
