tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2021,32,Jawa Barat,3272,Kota Sukabumi,350800,48.25,7270.466321,98.37,87.01,39.64,10.78,1477713,8.25,594118,82.15,74.6,SMA,48,17,30.23,3.65,0,10.9,,7.1,19.1,Tidak Prioritas
2021,32,Jawa Barat,3273,Kota Bandung,2452940,167.67,14629.56999,99.51,77.42,48.9,11.46,1835918,4.37,545675,75.7,81.96,SMA,222,4,34.88,2.82,0,14.2,,3.7,26.4,Prioritas
2021,32,Jawa Barat,3274,Kota Cirebon,336860,37.36,9016.595289,99.34,76.47,92.71,10.53,1272840,10.03,485613,87.75,75.25,SMA,55,7,28.66,4.52,0,21.9,,7.1,30.6,Prioritas
2021,32,Jawa Barat,3275,Kota Bekasi,2564940,206.61,12414.40395,100,95.6,97.54,10.88,2019457,4.74,731392,51.79,81.95,SMA,275,4,41.48,1.33,0,10.8,,8.7,13.8,Tidak Prioritas
2021,32,Jawa Barat,3276,Kota Depok,2085940,200.29,10414.59883,99.52,95.6,97.06,9.76,2018208,2.58,744771,74.44,81.37,SMA,110,4,49.42,1.26,0,10.9,,5.7,12.3,Tidak Prioritas
2021,32,Jawa Barat,3277,Kota Cimahi,571630,39.27,14556.40438,97.93,81.42,78.67,13.07,1804478,5.35,549450,57.78,78.06,SMA,79,2,44.07,2.66,0,11.2,,3.8,19.9,Tidak Prioritas
2021,32,Jawa Barat,3278,Kota Tasikmalaya,723920,171.61,4218.402191,94.4,87.86,52.62,7.66,1122481,13.13,498711,76.45,73.31,SMP,78,23,14,4.17,0,18.4,,6.6,28.9,Prioritas
2021,32,Jawa Barat,3279,Kota Banjar,203420,113.49,1792.404617,97.21,93.2,81.92,6.09,1124191,7.11,373510,68.56,71.92,SMP,34,9,23.19,3.93,0,15.6,,6,23.9,Prioritas
2021,33,Jawa Tengah,3301,Cilacap,1963824,2124.47,924.3830226,93.37,84.6,76.42,9.97,1046090,11.67,384955,45.5,70.42,SD,75,38,11.73,13.53,3,9.7,,3.9,17.9,Tidak Prioritas
2021,33,Jawa Tengah,3302,Banyumas,1789630,1335.3,1340.245638,91.49,89.05,79.97,6.05,1059036,13.66,441520,52.57,72.44,SD,125,39,21.1,11.36,0,15.8,,6.2,21.6,Prioritas
2021,33,Jawa Tengah,3303,Purbalingga,1007794,677.55,1487.409047,85.18,90.39,76.33,6.05,1020756,16.24,407849,54.69,69.15,SD,59,22,13.67,11.54,0,10.4,,3.3,16.8,Tidak Prioritas
2021,33,Jawa Tengah,3304,Banjarnegara,1026866,1023.73,1003.063308,82.61,78.49,40.75,5.86,1027275,16.23,351333,60.84,67.86,SD,75,35,9.29,12.87,0,8.4,,2.3,23.3,Prioritas
2021,33,Jawa Tengah,3305,Kebumen,1361913,1211.74,1123.931702,86.36,89.73,88.99,6.03,946706,17.83,416004,71.8,70.05,SD,81,35,12.14,12.55,0,13.5,,7.5,15.9,Tidak Prioritas
2021,33,Jawa Tengah,3306,Purworejo,773588,1091.49,708.7449267,85.99,87.65,79.81,3.59,936413,12.4,393731,35.88,72.98,SMA,58,27,20.86,16.51,0,14.3,,8.7,15.7,Tidak Prioritas
2021,33,Jawa Tengah,3307,Wonosobo,886613,981.41,903.4073425,95.64,89.62,53.27,5.26,1004002,17.67,399180,63.81,68.43,SD,49,24,11.47,15.73,0,13,,4.1,28.1,Prioritas
2021,33,Jawa Tengah,3308,Magelang,1305512,1102.93,1183.676208,94.14,86.62,78.4,5.03,974178,11.91,377497,61.88,70.12,SD,41,28,13.73,13.75,0,14.8,,4.8,22.3,Prioritas
2021,33,Jawa Tengah,3309,Boyolali,1070247,1008.45,1061.279191,93.42,87.34,87.72,5.09,1307210,10.62,383030,45.58,74.4,SD,57,24,20.4,12.59,0,13.6,,5.4,20.7,Prioritas
2021,33,Jawa Tengah,3310,Klaten,1267272,658.22,1925.301571,97.84,90.97,95.37,5.48,1356181,13.49,458872,43.57,76.12,SMA,108,36,24.64,14.16,0,12.5,,7.4,15.8,Tidak Prioritas
2021,33,Jawa Tengah,3311,Sukoharjo,911603,489.12,1863.761449,98.01,91.1,94.27,3.32,1566507,8.23,434318,70.5,77.13,SMA,73,12,28.15,11.54,0,11.8,,5.9,20,Prioritas
2021,33,Jawa Tengah,3312,Wonogiri,1049292,1793.67,584.9972403,98.82,96.33,92.97,2.43,1034585,11.55,376763,55.63,70.49,SD,76,40,14.98,15.8,0,10.9,,4.2,14,Tidak Prioritas
2021,33,Jawa Tengah,3313,Karanganyar,938808,775.44,1210.677809,98.65,95.61,95.38,5.89,1349950,10.68,424677,66.57,75.99,SMA,38,21,23.51,9.93,0,9.7,,3.9,16.2,Tidak Prioritas
2021,33,Jawa Tengah,3314,Sragen,983641,941.54,1044.715041,98.33,91.17,89.89,4.76,1338235,13.83,389265,47.01,74.08,SD,84,25,18.08,10.98,0,13.4,,4.1,18.8,Tidak Prioritas
2021,33,Jawa Tengah,3315,Grobogan,1460873,2013.86,725.4094128,76.14,87.14,89.37,4.38,1586556,12.74,428597,40.45,70.41,SD,64,31,11.51,16.85,0,6.3,,8.2,9.6,Tidak Prioritas
2021,33,Jawa Tengah,3316,Blora,886147,1804.59,491.051707,94.84,91.07,90.51,3.81,1087942,12.39,390478,64.27,69.37,SD,76,26,15.27,15.35,0,16.1,,6.5,21.5,Prioritas
2021,33,Jawa Tengah,3317,Rembang,647766,887.13,730.1815968,95.36,90.1,89.94,3.67,1300162,15.8,441482,58.74,70.43,SD,38,17,11.25,13.98,1,20.8,,13,18.7,Tidak Prioritas
2021,33,Jawa Tengah,3318,Pati,1330983,1489.19,893.7630524,99.72,93.68,91.67,4.6,1537447,10.21,486855,45.22,72.28,SD,70,29,20.16,12.96,0,19.2,,7,20.6,Prioritas
2021,33,Jawa Tengah,3319,Kudus,852443,425.15,2005.040574,98.9,94.3,93.8,3.77,1551767,7.6,482806,64.63,75.16,SMA,66,18,40.15,10.06,0,16.7,,9.5,17.6,Tidak Prioritas
2021,33,Jawa Tengah,3320,Jepara,1188510,1059.25,1122.029738,81.48,87.01,66.59,4.23,1356300,7.44,442618,58.78,72.36,SD,67,22,15.92,13.64,0,16,,8.7,25,Prioritas
2021,33,Jawa Tengah,3321,Demak,1212377,900.12,1346.905968,96.71,90.41,91.38,5.28,1681186,12.92,471818,50.8,72.57,SD,51,26,15.9,8.02,0,22.7,,12.7,25.5,Prioritas
2021,33,Jawa Tengah,3322,Semarang,1059844,950.21,1115.378706,98.25,90.64,91.01,5.02,1314779,7.82,459151,54.94,74.24,SD,66,26,29.47,9.68,0,10,,5.9,16.4,Tidak Prioritas
2021,33,Jawa Tengah,3323,Temanggung,794403,837.71,948.3031121,91.87,90.02,68.05,2.62,1095794,10.17,354012,55.7,69.88,SD,41,25,10.68,16.16,0,12.1,,3.5,20.5,Prioritas
2021,33,Jawa Tengah,3324,Kendal,1025020,1118.13,916.7270353,92.65,92.12,83.81,7.55,1297523,10.24,433864,55.72,72.5,SD,61,28,21.01,11.72,0,16.7,,5.9,21.2,Prioritas
2021,33,Jawa Tengah,3325,Batang,807005,788.65,1023.273949,98.38,90.63,66.96,6.59,1416484,9.68,341252,49.9,68.92,SD,43,21,10.91,9.93,0,14.9,,5.6,21.7,Prioritas
2021,33,Jawa Tengah,3326,Pekalongan,976504,837,1166.671446,96.2,79.42,78.57,4.28,1295444,10.57,441765,47.58,70.11,SD,68,27,11.9,7.81,0,18.6,,10.8,19.5,Tidak Prioritas
2021,33,Jawa Tengah,3327,Pemalang,1484209,1118.03,1327.521623,95.14,86.45,77.89,6.71,1415145,16.56,429549,52.05,66.56,SD,59,25,13.53,10.26,0,15.5,,6.1,24.7,Prioritas
2021,33,Jawa Tengah,3328,Tegal,1608611,876.1,1836.104326,98.87,88.14,84.23,9.97,1256737,8.6,434638,70.65,68.79,SD,68,31,16.7,9.33,0,18.4,,13.8,28,Prioritas
2021,33,Jawa Tengah,3329,Brebes,1992685,1902.37,1047.474992,92.6,87.07,80.1,9.78,1234677,17.43,472326,62.51,66.32,SD,91,38,11.27,11.3,0,19,,8.9,26.3,Prioritas
2021,33,Jawa Tengah,3371,Kota Magelang,121610,16.06,7572.229141,100,89.03,84.04,8.73,1308809,7.75,575130,93.11,79.43,SMA,43,5,39.82,10.58,0,12,,6.8,13.3,Tidak Prioritas
2021,33,Jawa Tengah,3372,Kota Surakarta,522728,46.01,11361.18235,99.82,77.32,88.73,7.85,1246542,9.4,538441,76.41,82.62,SMA,114,17,33.48,7.83,0,14.5,,6.7,20.4,Prioritas
2021,33,Jawa Tengah,3373,Kota Salatiga,193525,57.36,3373.866806,98.78,87.07,98.07,7.26,1395393,5.14,518815,94.48,83.6,SMA,43,6,42.81,6.54,0,10,,6.2,15.2,Tidak Prioritas
2021,33,Jawa Tengah,3374,Kota Semarang,1656564,373.78,4431.922521,98.42,88.21,93.67,9.54,1796349,4.56,589598,68.69,83.55,SMA,221,33,43.26,5.69,0,16.2,,5.9,21.3,Prioritas
2021,33,Jawa Tengah,3375,Kota Pekalongan,308310,45.25,6813.480663,99.28,80.88,94.62,6.89,1185523,7.59,513243,76.26,75.4,SMA,33,14,24.73,7.35,0,16.2,,7.6,20.6,Prioritas
2021,33,Jawa Tengah,3376,Kota Tegal,275781,39.68,6950.126008,100,80.68,92.77,8.25,1393917,8.12,565826,58.89,75.52,SMA,41,8,27.73,5.82,0,22.7,,9.2,23.9,Prioritas
2021,34,DI Yogyakarta,3401,Kulonprogo,443283,586.28,756.0943576,89.33,91.07,95.95,3.69,854195,18.38,381666,84.88,74.71,SMP,65,21,17.37,13.29,0,13.6,,5.1,14.9,Tidak Prioritas
2021,34,DI Yogyakarta,3402,Bantul,998647,506.85,1970.300878,96.11,86.79,96.2,4.04,1216144,14.04,445511,68.6,80.28,SMP,118,27,22.26,9.38,0,13.5,,6.5,19.1,Tidak Prioritas
2021,34,DI Yogyakarta,3403,Gunungkidul,758168,1485.36,510.4271018,94.7,92.01,96,2.2,1153709,17.69,350739,73.54,70.16,SD,57,30,8.91,14.52,0,13,,6,20.6,Prioritas
2021,34,DI Yogyakarta,3404,Sleman,1136474,574.82,1977.095439,96.26,80.09,98.41,5.17,1463222,8.64,450763,68.9,84,SMA,206,27,42.82,6.68,0,11.2,,5.7,16,Tidak Prioritas
2021,34,DI Yogyakarta,3471,Yogyakarta,376324,32.5,11579.2,100,69.58,98.17,9.13,1065681,7.69,601905,90.54,87.18,SMA,101,15,29.94,8.3,0,13.6,,5.9,17.1,Tidak Prioritas
2021,35,Jawa Timur,3501,Pacitan,589108,1389.92,423.8430989,76.71,95.98,71.7,2.04,925266,15.11,327758,65.16,68.57,SMP,67,25,9.24,11.25,0,17.2,,6.2,22.7,Prioritas
2021,35,Jawa Timur,3502,Ponorogo,955839,1305.7,732.0510071,96.3,88.82,87.49,4.38,1010138,10.26,362461,58.06,71.06,SMP,68,33,13.65,9.95,0,13,,7.5,20,Prioritas
2021,35,Jawa Timur,3503,Trenggalek,734888,1147.22,640.5815798,75.78,86.29,75.48,3.53,912331,12.14,381448,84.17,70.06,SMP,84,23,8.39,12.69,0,10.4,,3,18.1,Tidak Prioritas
2021,35,Jawa Timur,3504,Tulungagung,1096588,1055.65,1038.779899,97.4,88.73,85.37,4.91,1082818,7.51,391888,58.4,73.15,SMP,98,31,15.74,8.4,0,11.8,,4.3,13.1,Tidak Prioritas
2021,35,Jawa Timur,3505,Blitar,1231013,1336.48,921.0859871,93.33,89.68,75.67,3.66,1131721,9.65,355511,69.95,71.05,SMP,87,24,11.33,11.39,0,11.6,,4.3,14.5,Tidak Prioritas
2021,35,Jawa Timur,3506,Kediri,1644400,1386.05,1186.392987,96.35,91.06,86.92,5.15,1140645,11.64,353033,66.53,72.56,SMP,136,40,15.26,9.03,0,11.4,,4.9,18,Tidak Prioritas
2021,35,Jawa Timur,3507,Malang,2668296,3530.65,755.752057,94.14,91.04,80.79,5.4,1286119,10.5,367579,48.83,70.6,SMP,142,42,18.08,10.59,0,14.5,,3.5,25.7,Prioritas
2021,35,Jawa Timur,3508,Lumajang,1127094,1790.9,629.3450221,95.73,86.52,83.24,3.51,1209966,10.05,352776,53.87,66.07,SMP,84,25,7.94,11.29,0,19.7,,5.4,30.1,Prioritas
2021,35,Jawa Timur,3509,Jember,2550360,3092.34,824.734667,94.35,65.81,64.17,5.44,1125088,10.41,400961,37.67,67.32,SD,124,50,12.09,9.72,0,19.8,,12.8,23.9,Prioritas
2021,35,Jawa Timur,3510,Banyuwangi,1718462,5782.4,297.1883647,94.16,83.61,81.15,5.42,1187541,8.07,414879,65.58,71.38,SMP,106,45,12.97,10.32,0,14.4,,7.4,10.1,Tidak Prioritas
2021,35,Jawa Timur,3511,Bondowoso,778525,1525.97,510.1836864,93.44,49.96,52.82,4.46,913479,14.73,449760,64.28,66.59,SD,65,27,10.22,13.64,0,23,,6.2,37,Prioritas
2021,35,Jawa Timur,3512,Situbondo,688337,1669.87,412.2099325,98.88,50.45,59.79,3.68,1039224,12.63,356133,62.81,67.78,SD,64,23,10.35,15.49,3,19.1,,8.4,23.7,Prioritas
2021,35,Jawa Timur,3513,Probolinggo,1155894,1696.21,681.4568951,93.18,68.22,62.14,4.55,1207308,18.91,475713,35.92,66.26,SD,68,36,8.59,9.74,0,19.1,,8.9,23.3,Prioritas
2021,35,Jawa Timur,3514,Pasuruan,1611805,1474.02,1093.475665,97.36,87.14,82.92,6.03,1376508,9.7,394016,47.66,68.93,SMP,87,35,12.28,8.56,0,18.88,,7.3,21.5,Prioritas
2021,35,Jawa Timur,3515,Sidoarjo,2091930,634.38,3297.597654,96.82,94.36,95.05,10.87,2192459,5.93,523213,54.83,80.65,SMA,129,28,44.84,4.09,0,7.2,,5.4,14.8,Tidak Prioritas
2021,35,Jawa Timur,3516,Mojokerto,1125522,717.83,1567.950629,98.37,88.63,87.34,5.54,1440100,10.62,445608,72.12,74.15,SMP,59,26,28.25,5.93,0,14,,6.6,27.4,Prioritas
2021,35,Jawa Timur,3517,Jombang,1325914,1115.09,1189.06456,99.44,89.1,90.95,7.09,1100211,10,448830,49.18,73.45,SMP,100,33,22.48,8.95,0,17.5,,5.4,21.2,Prioritas
2021,35,Jawa Timur,3518,Nganjuk,1109683,1224.25,906.4186236,99.03,86.97,81.84,4.98,1270100,11.85,474429,75.83,71.97,SMP,62,21,10.38,9.74,0,17.3,,7.4,25.3,Prioritas
2021,35,Jawa Timur,3519,Madiun,750143,1037.58,722.9736502,95.1,87.87,89.09,4.99,1220277,11.91,405127,48.87,71.88,SMP,53,27,16.01,10.71,0,15.1,,5.1,15.9,Tidak Prioritas
2021,35,Jawa Timur,3520,Magetan,674133,688.84,978.6496138,99.9,92.94,88.4,3.86,1396726,10.66,396696,55.12,74.15,SMP,62,22,16.23,9.05,0,16.9,,7.3,17.2,Tidak Prioritas
2021,35,Jawa Timur,3521,Ngawi,873346,1295.98,673.8884859,99.92,82.68,79.35,4.25,1127276,15.57,382301,65.31,71.04,SMP,64,24,16.55,12.75,0,13.5,,7.1,16.2,Tidak Prioritas
2021,35,Jawa Timur,3522,Bojonegoro,1307602,2198.79,594.6916258,97.24,87.13,90.96,4.82,1289770,13.27,403403,52.66,69.59,SMP,82,41,10.23,8.74,0,19.2,,9.5,23.9,Prioritas
2021,35,Jawa Timur,3523,Tuban,1203127,1834.15,655.958891,96.4,83.59,83.8,4.68,1424402,16.31,421287,55.44,68.91,SMP,58,36,13.14,10.26,2,16.9,,7.3,25.1,Prioritas
2021,35,Jawa Timur,3524,Lamongan,1356027,1782.05,760.9365618,81.98,96.21,89.7,4.9,1524157,13.86,446601,63.86,73.12,SMP,95,36,14.91,6.02,0,17.7,,7.3,20.5,Prioritas
2021,35,Jawa Timur,3525,Gresik,1320570,1191.25,1108.558237,88.99,95.06,91.56,8,1934503,12.42,536544,54.51,76.5,SMP,69,34,28.69,4.43,0,13.6,,8.3,23,Prioritas
2021,35,Jawa Timur,3526,Bangkalan,1071712,1001.44,1070.170954,97.39,83.1,39.44,8.07,1662628,21.57,458754,53.92,64.36,SD,38,27,4.04,7.39,0,26,,8.7,38.9,Prioritas
2021,35,Jawa Timur,3527,Sampang,976020,1233.08,791.5301521,89.34,73.82,76.22,3.45,1336468,23.76,411661,79.66,62.8,SD,58,22,1.19,7.8,0,12.3,,7.3,17.2,Tidak Prioritas
2021,35,Jawa Timur,3528,Pamekasan,853507,792.24,1077.333889,89.15,75.17,70.85,3.1,1247398,15.3,392345,75.02,66.4,SD,46,21,4.96,9.83,0,22.8,,14.9,38.7,Prioritas
2021,35,Jawa Timur,3529,Sumenep,1129822,1998.54,565.3236863,98.29,73.41,65.66,2.31,1607146,20.51,427882,47.09,67.04,SD,81,29,4.24,8.06,0,20.9,,9.9,29,Prioritas
2021,35,Jawa Timur,3571,Kota Kediri,287962,63.4,4541.987382,98.95,88.87,95.75,6.37,1067263,7.75,537326,63.16,78.6,SMA,63,10,31.67,7.19,0,13,,7.5,15.7,Tidak Prioritas
2021,35,Jawa Timur,3572,Kota Blitar,150371,32.57,4616.856002,97.08,92.06,96.77,6.61,1114343,7.89,517363,80.75,78.98,SMA,30,3,29.55,5.44,0,9.6,,4.4,12.9,Tidak Prioritas
2021,35,Jawa Timur,3573,Kota Malang,844933,145.28,5815.893447,99.93,86.59,87.08,9.65,1333431,4.62,609612,94.22,82.04,SMA,197,16,40.1,5.31,0,17.7,,4.6,25.7,Prioritas
2021,35,Jawa Timur,3574,Kota Probolinggo,241202,56.67,4256.255514,99.66,88.39,89.77,6.55,1554452,7.44,575195,82.9,73.66,SMP,32,6,30.74,5.9,0,14.6,,7.2,19,Tidak Prioritas
2021,35,Jawa Timur,3575,Kota Pasuruan,209528,35.29,5937.319354,99.65,92.27,92.1,6.23,1397000,6.88,486893,84.38,75.62,SMA,27,8,27.65,5.55,0,19,,9.7,22.1,Prioritas
2021,35,Jawa Timur,3576,Kota Mojokerto,133272,20.21,6594.359228,99.63,92.68,95.49,6.87,1206802,6.39,531804,80.03,78.43,SMA,35,6,32.81,5.61,0,10.7,,6.6,6.9,Tidak Prioritas
