,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
203,211790,3623.56,1,93.37,90.81,57.67,5.17,1489469.0,22.98,623576,63.19,68.96,1,21,10,5.58,15.95,0,15.4,8.6,0
204,1016360,638.33,3,99.17,96.13,95.13,6.2,2394334.0,3.16,712000,70.77,83.67,2,229,20,44.72,11.75,0,10.9,9.2,0
205,328910,2059.61,1,89.81,97.74,95.5,5.15,2459471.0,3.21,601348,68.42,76.45,2,50,11,16.88,12.42,0,11.8,5.3,0
206,255120,3445.2,1,79.25,78.26,68.98,2.48,1987865.0,7.54,485838,53.15,73.77,1,47,24,16.83,15.09,0,6.5,4.7,0
207,368390,7540.12,0,55.9,84.6,81.15,4.35,2109410.0,8.9,537492,41.64,71.81,1,58,27,21.93,15.14,0,6.1,4.2,0
208,302240,5935.89,1,71.44,79.7,79.79,5.09,1886101.0,8.54,545939,60.35,73.05,1,36,16,23.78,12.77,0,2.3,1.0,0
209,312730,5387.52,1,82.6,86.83,82.86,3.85,2236616.0,9.45,540168,55.99,72.5,1,37,19,17.56,15.48,0,9.5,6.0,0
210,418800,5225.8,1,73.0,93.52,85.66,5.4,2130113.0,4.43,535244,55.39,72.26,1,43,22,26.41,11.14,0,11.2,7.7,0
211,236730,4546.62,1,86.91,94.82,74.96,1.67,1971055.0,10.85,514905,57.97,69.85,0,29,17,19.84,12.32,0,16.4,11.2,1
212,330470,5546.06,1,92.04,86.79,77.87,2.95,1814694.0,9.79,499318,56.39,71.44,1,40,16,18.28,14.32,0,11.3,7.6,0
213,350760,6103.74,1,74.76,90.69,80.69,1.71,2072967.0,6.46,528310,56.86,71.99,1,30,20,21.45,13.98,0,13.7,7.9,1
214,376380,4760.83,1,76.02,83.47,83.86,5.23,1901878.0,5.29,517119,55.63,73.57,1,42,20,24.62,9.54,0,8.4,5.3,0
215,627770,169.89,3,98.41,97.47,98.08,8.27,3235097.0,8.24,667447,60.17,80.93,2,88,20,41.78,10.66,0,7.2,9.9,0
216,99770,364.92,2,90.74,73.54,83.52,3.8,2021608.0,3.0,491568,78.39,77.2,2,52,11,23.17,15.75,0,3.1,1.4,0
217,379130,3774.5,1,82.33,85.49,80.78,4.13,1389032.0,11.46,548200,47.3,73.17,1,50,19,22.31,6.22,1,14.7,6.2,0
218,797429,17071.33,0,80.59,76.72,69.73,3.23,2105053.0,13.15,444881,35.46,70.8,0,52,33,10.32,6.3,0,20.1,8.3,1
219,633779,6763.91,1,90.78,82.91,85.58,3.92,1487470.0,10.93,467396,62.21,72.33,1,64,22,13.32,6.13,0,17.5,11.1,1
220,444949,4333.07,1,86.16,78.55,70.19,3.41,1597063.0,15.0,547203,55.24,72.15,1,84,33,18.13,5.41,0,7.9,4.1,0
221,407694,6122.59,1,89.34,93.15,74.5,1.95,1694338.0,14.13,564151,73.55,70.52,0,57,20,15.17,8.12,0,20.1,11.4,1
222,644386,14550.79,0,85.58,90.97,83.52,2.58,2415678.0,14.9,593258,61.65,71.3,1,73,29,11.37,4.58,0,16.0,9.6,0
223,874210,12262.76,1,80.66,91.22,74.53,3.35,2397537.0,9.58,509264,63.7,70.67,0,61,35,16.15,4.48,0,17.1,11.0,1
224,424190,3412.72,1,80.18,76.51,63.2,1.81,1167018.0,10.36,413228,52.61,69.05,1,23,19,7.59,10.47,0,12.9,11.4,1
